,lot_lotsize1,lot_lotsize2,lot_pooltype,area_blockNum,area_subdname,area_taxcodearea,address_line1,address_locality,address_postal2,address_postal3,location_accuracy,location_geoIdV4_CO,summary_proptype,summary_propertyType,summary_yearbuilt,summary_propIndicator,utilities_heatingtype,building_size_bldgsize,building_size_grosssize,building_size_grosssizeadjusted,building_size_livingsize,building_size_sizeInd,building_size_universalsize,building_rooms_bathsfull,building_rooms_bathstotal,building_interior_bsmtsize,building_interior_bsmttype,building_interior_fplcind,building_interior_fplctype,building_construction_constructiontype,building_construction_roofcover,building_construction_roofShape,building_construction_wallType,building_parking_garagetype,building_parking_prkgSize,building_parking_prkgSpaces,building_parking_prkgType,building_summary_archStyle,building_summary_bldgType,building_summary_imprType,building_summary_levels,building_summary_quality,building_summary_storyDesc,building_summary_viewCode,sale_amount_saletranstype,sale_amount_saleamt,sale_calculation_pricepersizeunit
210,0.1,5000,NO POOL,0,Subdivision 0,TX2,1110 Main St,City0,ZIP2-10,ZIP3-10,ROOFTOP,CO110,Single Family,Residential,1985,N,Electric,1220,1420,1320,1170,Actual,1270,4,2.5,500.0,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,210.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,210000.0,120.0
211,0.15,5100,POOL,1,Subdivision 1,TX0,1111 Main St,City1,ZIP2-11,ZIP3-11,ROOFTOP,CO111,Condo,Residential,1986,Y,Gas,1222,1422,1322,1172,Actual,1272,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,211.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,211000.0,121.0
212,0.2,5200,NO POOL,2,Subdivision 2,TX1,1112 Main St,City2,ZIP2-12,ZIP3-12,ROOFTOP,CO112,Single Family,Residential,1987,Y,Electric,1224,1424,1324,1174,Actual,1274,3,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,212.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,212000.0,122.0
213,0.25,5300,POOL,3,Subdivision 3,TX2,1113 Main St,City3,ZIP2-13,ZIP3-13,ROOFTOP,CO113,Condo,Residential,1988,Y,Electric,1226,1426,1326,1176,Actual,1276,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,213.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,213000.0,123.0
214,0.3,5400,NO POOL,4,Subdivision 4,TX0,1114 Main St,City4,ZIP2-14,ZIP3-14,ROOFTOP,CO114,Single Family,Residential,1989,Y,Gas,1228,1428,1328,1178,Actual,1278,2,2.5,500.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,214.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,214000.0,124.0
215,0.35,5500,POOL,5,Subdivision 0,TX1,1115 Main St,City5,ZIP2-15,ZIP3-15,ROOFTOP,CO115,Condo,Residential,1990,Y,Electric,1230,1430,1330,1180,Actual,1280,3,3.0,500.0,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,215.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,215000.0,125.0
216,0.4,5600,NO POOL,6,Subdivision 1,TX2,1116 Main St,City6,ZIP2-16,ZIP3-16,ROOFTOP,CO116,Single Family,Residential,1991,Y,Electric,1232,1432,1332,1182,Actual,1282,4,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,216.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,216000.0,126.0
217,0.45,5700,POOL,7,Subdivision 2,TX0,1117 Main St,City7,ZIP2-17,ZIP3-17,ROOFTOP,CO117,Condo,Residential,1992,Y,Gas,1234,1434,1334,1184,Actual,1284,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,217.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,217000.0,127.0
218,0.5,5800,NO POOL,8,Subdivision 3,TX1,1118 Main St,City8,ZIP2-18,ZIP3-18,ROOFTOP,CO118,Single Family,Residential,1993,Y,Electric,1236,1436,1336,1186,Actual,1286,3,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,218.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,218000.0,128.0
219,0.55,5900,POOL,9,Subdivision 4,TX2,1119 Main St,City9,ZIP2-19,ZIP3-19,ROOFTOP,CO119,Condo,Residential,1994,Y,Electric,1238,1438,1338,1188,Actual,1288,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,219.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,219000.0,129.0
220,0.1,6000,NO POOL,0,Subdivision 0,TX0,1120 Main St,City0,ZIP2-20,ZIP3-20,ROOFTOP,CO120,Single Family,Residential,1995,N,Gas,1240,1440,1340,1190,Actual,1290,2,2.5,0.0,Finished,Y,Wood,Frame,Asphalt,Gable,Siding,Attached,220.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,220000.0,100.0
221,0.15,6100,POOL,1,Subdivision 1,TX1,1121 Main St,City1,ZIP2-21,ZIP3-21,ROOFTOP,CO121,Condo,Residential,1996,Y,Electric,1242,1442,1342,1192,Actual,1292,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,221.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,221000.0,101.0
222,0.2,6200,NO POOL,2,Subdivision 2,TX2,1122 Main St,City2,ZIP2-22,ZIP3-22,ROOFTOP,CO122,Single Family,Residential,1997,Y,Electric,1244,1444,1344,1194,Actual,1294,4,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,222.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,222000.0,102.0
223,0.25,6300,POOL,3,Subdivision 3,TX0,1123 Main St,City3,ZIP2-23,ZIP3-23,ROOFTOP,CO123,Condo,Residential,1998,Y,Gas,1246,1446,1346,1196,Actual,1296,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,223.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,223000.0,103.0
224,0.3,6400,NO POOL,4,Subdivision 4,TX1,1124 Main St,City4,ZIP2-24,ZIP3-24,ROOFTOP,CO124,Single Family,Residential,1999,Y,Electric,1248,1448,1348,1198,Actual,1298,3,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,224.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,224000.0,104.0
225,0.35,6500,POOL,5,Subdivision 0,TX2,1125 Main St,City5,ZIP2-25,ZIP3-25,ROOFTOP,CO125,Condo,Residential,2000,Y,Electric,1250,1450,1350,1200,Actual,1300,4,3.0,500.0,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,225.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,225000.0,105.0
226,0.4,6600,NO POOL,6,Subdivision 1,TX0,1126 Main St,City6,ZIP2-26,ZIP3-26,ROOFTOP,CO126,Single Family,Residential,2001,Y,Gas,1252,1452,1352,1202,Actual,1302,2,2.5,500.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,226.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,226000.0,106.0
227,0.45,6700,POOL,7,Subdivision 2,TX1,1127 Main St,City7,ZIP2-27,ZIP3-27,ROOFTOP,CO127,Condo,Residential,2002,Y,Electric,1254,1454,1354,1204,Actual,1304,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,227.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,227000.0,107.0
228,0.5,6800,NO POOL,8,Subdivision 3,TX2,1128 Main St,City8,ZIP2-28,ZIP3-28,ROOFTOP,CO128,Single Family,Residential,2003,Y,Electric,1256,1456,1356,1206,Actual,1306,4,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,228.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,228000.0,108.0
229,0.55,6900,POOL,9,Subdivision 4,TX0,1129 Main St,City9,ZIP2-29,ZIP3-29,ROOFTOP,CO129,Condo,Residential,2004,Y,Gas,1258,1458,1358,1208,Actual,1308,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,229.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,229000.0,109.0
230,0.1,7000,NO POOL,0,Subdivision 0,TX1,1130 Main St,City0,ZIP2-30,ZIP3-30,ROOFTOP,CO130,Single Family,Residential,2005,N,Electric,1260,1460,1360,1210,Actual,1310,3,2.5,500.0,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,230.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,230000.0,110.0
231,0.15,7100,POOL,1,Subdivision 1,TX2,1131 Main St,City1,ZIP2-31,ZIP3-31,ROOFTOP,CO131,Condo,Residential,2006,Y,Electric,1262,1462,1362,1212,Actual,1312,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,231.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,231000.0,111.0
232,0.2,7200,NO POOL,2,Subdivision 2,TX0,1132 Main St,City2,ZIP2-32,ZIP3-32,ROOFTOP,CO132,Single Family,Residential,2007,Y,Gas,1264,1464,1364,1214,Actual,1314,2,2.5,0.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,232.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,232000.0,112.0
233,0.25,7300,POOL,3,Subdivision 3,TX1,1133 Main St,City3,ZIP2-33,ZIP3-33,ROOFTOP,CO133,Condo,Residential,2008,Y,Electric,1266,1466,1366,1216,Actual,1316,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,233.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,233000.0,113.0
234,0.3,7400,NO POOL,4,Subdivision 4,TX2,1134 Main St,City4,ZIP2-34,ZIP3-34,ROOFTOP,CO134,Single Family,Residential,2009,Y,Electric,1268,1468,1368,1218,Actual,1318,4,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,234.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,234000.0,114.0
235,0.35,7500,POOL,5,Subdivision 0,TX0,1135 Main St,City5,ZIP2-35,ZIP3-35,ROOFTOP,CO135,Condo,Residential,2010,Y,Gas,1270,1470,1370,1220,Actual,1320,2,3.0,500.0,Finished,Y,Gas,Frame,Asphalt,Gable,Siding,Attached,235.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,235000.0,115.0
236,0.4,7600,NO POOL,6,Subdivision 1,TX1,1136 Main St,City6,ZIP2-36,ZIP3-36,ROOFTOP,CO136,Single Family,Residential,2011,Y,Electric,1272,1472,1372,1222,Actual,1322,3,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,236.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,236000.0,116.0
237,0.45,7700,POOL,7,Subdivision 2,TX2,1137 Main St,City7,ZIP2-37,ZIP3-37,ROOFTOP,CO137,Condo,Residential,2012,Y,Electric,1274,1474,1374,1224,Actual,1324,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,237.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,237000.0,117.0
238,0.5,7800,NO POOL,8,Subdivision 3,TX0,1138 Main St,City8,ZIP2-38,ZIP3-38,ROOFTOP,CO138,Single Family,Residential,2013,Y,Gas,1276,1476,1376,1226,Actual,1326,2,2.5,500.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,238.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,238000.0,118.0
239,0.55,7900,POOL,9,Subdivision 4,TX1,1139 Main St,City9,ZIP2-39,ZIP3-39,ROOFTOP,CO139,Condo,Residential,2014,Y,Electric,1278,1478,1378,1228,Actual,1328,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,239.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,239000.0,119.0
240,0.1,8000,NO POOL,0,Subdivision 0,TX2,1140 Main St,City0,ZIP2-40,ZIP3-40,ROOFTOP,CO140,Single Family,Residential,2015,N,Electric,1280,1480,1380,1230,Actual,1330,4,2.5,0.0,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,240.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,240000.0,120.0
241,0.15,8100,POOL,1,Subdivision 1,TX0,1141 Main St,City1,ZIP2-41,ZIP3-41,ROOFTOP,CO141,Condo,Residential,2016,Y,Gas,1282,1482,1382,1232,Actual,1332,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,241.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,241000.0,121.0
242,0.2,8200,NO POOL,2,Subdivision 2,TX1,1142 Main St,City2,ZIP2-42,ZIP3-42,ROOFTOP,CO142,Single Family,Residential,2017,Y,Electric,1284,1484,1384,1234,Actual,1334,3,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,242.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,242000.0,122.0
243,0.25,8300,POOL,3,Subdivision 3,TX2,1143 Main St,City3,ZIP2-43,ZIP3-43,ROOFTOP,CO143,Condo,Residential,2018,Y,Electric,1286,1486,1386,1236,Actual,1336,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,243.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,243000.0,123.0
244,0.3,8400,NO POOL,4,Subdivision 4,TX0,1144 Main St,City4,ZIP2-44,ZIP3-44,ROOFTOP,CO144,Single Family,Residential,2019,Y,Gas,1288,1488,1388,1238,Actual,1338,2,2.5,0.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,244.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,244000.0,124.0
245,0.35,8500,POOL,5,Subdivision 0,TX1,1145 Main St,City5,ZIP2-45,ZIP3-45,ROOFTOP,CO145,Condo,Residential,2020,Y,Electric,1290,1490,1390,1240,Actual,1340,3,3.0,500.0,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,245.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,245000.0,125.0
246,0.4,8600,NO POOL,6,Subdivision 1,TX2,1146 Main St,City6,ZIP2-46,ZIP3-46,ROOFTOP,CO146,Single Family,Residential,2021,Y,Electric,1292,1492,1392,1242,Actual,1342,4,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,246.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,246000.0,126.0
247,0.45,8700,POOL,7,Subdivision 2,TX0,1147 Main St,City7,ZIP2-47,ZIP3-47,ROOFTOP,CO147,Condo,Residential,2022,Y,Gas,1294,1494,1394,1244,Actual,1344,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,247.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,247000.0,127.0
248,0.5,8800,NO POOL,8,Subdivision 3,TX1,1148 Main St,City8,ZIP2-48,ZIP3-48,ROOFTOP,CO148,Single Family,Residential,2023,Y,Electric,1296,1496,1396,1246,Actual,1346,3,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,248.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,248000.0,128.0
249,0.55,8900,POOL,9,Subdivision 4,TX2,1149 Main St,City9,ZIP2-49,ZIP3-49,ROOFTOP,CO149,Condo,Residential,2024,Y,Electric,1298,1498,1398,1248,Actual,1348,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,249.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,249000.0,129.0
250,0.1,4000,NO POOL,0,Subdivision 0,TX0,1150 Main St,City0,ZIP2-50,ZIP3-0,ROOFTOP,CO150,Single Family,Residential,1950,N,Gas,1300,1500,1400,1250,Actual,1350,2,2.5,500.0,Finished,Y,Wood,Frame,Asphalt,Gable,Siding,Attached,250.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,250000.0,100.0
251,0.15,4100,POOL,1,Subdivision 1,TX1,1151 Main St,City1,ZIP2-51,ZIP3-1,ROOFTOP,CO151,Condo,Residential,1951,Y,Electric,1302,1502,1402,1252,Actual,1352,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,251.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,251000.0,101.0
252,0.2,4200,NO POOL,2,Subdivision 2,TX2,1152 Main St,City2,ZIP2-52,ZIP3-2,ROOFTOP,CO152,Single Family,Residential,1952,Y,Electric,1304,1504,1404,1254,Actual,1354,4,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,252.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,252000.0,102.0
253,0.25,4300,POOL,3,Subdivision 3,TX0,1153 Main St,City3,ZIP2-53,ZIP3-3,ROOFTOP,CO153,Condo,Residential,1953,Y,Gas,1306,1506,1406,1256,Actual,1356,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,253.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,253000.0,103.0
254,0.3,4400,NO POOL,4,Subdivision 4,TX1,1154 Main St,City4,ZIP2-54,ZIP3-4,ROOFTOP,CO154,Single Family,Residential,1954,Y,Electric,1308,1508,1408,1258,Actual,1358,3,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,254.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,254000.0,104.0
255,0.35,4500,POOL,5,Subdivision 0,TX2,1155 Main St,City5,ZIP2-55,ZIP3-5,ROOFTOP,CO155,Condo,Residential,1955,Y,Electric,1310,1510,1410,1260,Actual,1360,4,3.0,500.0,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,255.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,255000.0,105.0
256,0.4,4600,NO POOL,6,Subdivision 1,TX0,1156 Main St,City6,ZIP2-56,ZIP3-6,ROOFTOP,CO156,Single Family,Residential,1956,Y,Gas,1312,1512,1412,1262,Actual,1362,2,2.5,0.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,256.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,256000.0,106.0
257,0.45,4700,POOL,7,Subdivision 2,TX1,1157 Main St,City7,ZIP2-57,ZIP3-7,ROOFTOP,CO157,Condo,Residential,1957,Y,Electric,1314,1514,1414,1264,Actual,1364,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,257.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,257000.0,107.0
258,0.5,4800,NO POOL,8,Subdivision 3,TX2,1158 Main St,City8,ZIP2-58,ZIP3-8,ROOFTOP,CO158,Single Family,Residential,1958,Y,Electric,1316,1516,1416,1266,Actual,1366,4,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,258.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,258000.0,108.0
259,0.55,4900,POOL,9,Subdivision 4,TX0,1159 Main St,City9,ZIP2-59,ZIP3-9,ROOFTOP,CO159,Condo,Residential,1959,Y,Gas,1318,1518,1418,1268,Actual,1368,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,259.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,259000.0,109.0
260,0.1,5000,NO POOL,0,Subdivision 0,TX1,1160 Main St,City0,ZIP2-60,ZIP3-10,ROOFTOP,CO160,Single Family,Residential,1960,N,Electric,1320,1520,1420,1270,Actual,1370,3,2.5,0.0,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,260.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,260000.0,110.0
261,0.15,5100,POOL,1,Subdivision 1,TX2,1161 Main St,City1,ZIP2-61,ZIP3-11,ROOFTOP,CO161,Condo,Residential,1961,Y,Electric,1322,1522,1422,1272,Actual,1372,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,261.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,261000.0,111.0
262,0.2,5200,NO POOL,2,Subdivision 2,TX0,1162 Main St,City2,ZIP2-62,ZIP3-12,ROOFTOP,CO162,Single Family,Residential,1962,Y,Gas,1324,1524,1424,1274,Actual,1374,2,2.5,500.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,262.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,262000.0,112.0
263,0.25,5300,POOL,3,Subdivision 3,TX1,1163 Main St,City3,ZIP2-63,ZIP3-13,ROOFTOP,CO163,Condo,Residential,1963,Y,Electric,1326,1526,1426,1276,Actual,1376,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,263.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,263000.0,113.0
264,0.3,5400,NO POOL,4,Subdivision 4,TX2,1164 Main St,City4,ZIP2-64,ZIP3-14,ROOFTOP,CO164,Single Family,Residential,1964,Y,Electric,1328,1528,1428,1278,Actual,1378,4,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,264.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,264000.0,114.0
265,0.35,5500,POOL,5,Subdivision 0,TX0,1165 Main St,City5,ZIP2-65,ZIP3-15,ROOFTOP,CO165,Condo,Residential,1965,Y,Gas,1330,1530,1430,1280,Actual,1380,2,3.0,500.0,Finished,Y,Gas,Frame,Asphalt,Gable,Siding,Attached,265.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,265000.0,115.0
266,0.4,5600,NO POOL,6,Subdivision 1,TX1,1166 Main St,City6,ZIP2-66,ZIP3-16,ROOFTOP,CO166,Single Family,Residential,1966,Y,Electric,1332,1532,1432,1282,Actual,1382,3,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,266.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,266000.0,116.0
267,0.45,5700,POOL,7,Subdivision 2,TX2,1167 Main St,City7,ZIP2-67,ZIP3-17,ROOFTOP,CO167,Condo,Residential,1967,Y,Electric,1334,1534,1434,1284,Actual,1384,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,267.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,267000.0,117.0
268,0.5,5800,NO POOL,8,Subdivision 3,TX0,1168 Main St,City8,ZIP2-68,ZIP3-18,ROOFTOP,CO168,Single Family,Residential,1968,Y,Gas,1336,1536,1436,1286,Actual,1386,2,2.5,0.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,268.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,268000.0,118.0
269,0.55,5900,POOL,9,Subdivision 4,TX1,1169 Main St,City9,ZIP2-69,ZIP3-19,ROOFTOP,CO169,Condo,Residential,1969,Y,Electric,1338,1538,1438,1288,Actual,1388,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,269.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,269000.0,119.0
270,0.1,6000,NO POOL,0,Subdivision 0,TX2,1170 Main St,City0,ZIP2-70,ZIP3-20,ROOFTOP,CO170,Single Family,Residential,1970,N,Electric,1340,1540,1440,1290,Actual,1390,4,2.5,500.0,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,270.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,270000.0,120.0
271,0.15,6100,POOL,1,Subdivision 1,TX0,1171 Main St,City1,ZIP2-71,ZIP3-21,ROOFTOP,CO171,Condo,Residential,1971,Y,Gas,1342,1542,1442,1292,Actual,1392,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,271.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,271000.0,121.0
272,0.2,6200,NO POOL,2,Subdivision 2,TX1,1172 Main St,City2,ZIP2-72,ZIP3-22,ROOFTOP,CO172,Single Family,Residential,1972,Y,Electric,1344,1544,1444,1294,Actual,1394,3,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,272.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,272000.0,122.0
273,0.25,6300,POOL,3,Subdivision 3,TX2,1173 Main St,City3,ZIP2-73,ZIP3-23,ROOFTOP,CO173,Condo,Residential,1973,Y,Electric,1346,1546,1446,1296,Actual,1396,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,273.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,273000.0,123.0
274,0.3,6400,NO POOL,4,Subdivision 4,TX0,1174 Main St,City4,ZIP2-74,ZIP3-24,ROOFTOP,CO174,Single Family,Residential,1974,Y,Gas,1348,1548,1448,1298,Actual,1398,2,2.5,500.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,274.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,274000.0,124.0
275,0.35,6500,POOL,5,Subdivision 0,TX1,1175 Main St,City5,ZIP2-75,ZIP3-25,ROOFTOP,CO175,Condo,Residential,1975,Y,Electric,1350,1550,1450,1300,Actual,1400,3,3.0,500.0,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,275.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,275000.0,125.0
276,0.4,6600,NO POOL,6,Subdivision 1,TX2,1176 Main St,City6,ZIP2-76,ZIP3-26,ROOFTOP,CO176,Single Family,Residential,1976,Y,Electric,1352,1552,1452,1302,Actual,1402,4,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,276.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,276000.0,126.0
277,0.45,6700,POOL,7,Subdivision 2,TX0,1177 Main St,City7,ZIP2-77,ZIP3-27,ROOFTOP,CO177,Condo,Residential,1977,Y,Gas,1354,1554,1454,1304,Actual,1404,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,277.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,277000.0,127.0
278,0.5,6800,NO POOL,8,Subdivision 3,TX1,1178 Main St,City8,ZIP2-78,ZIP3-28,ROOFTOP,CO178,Single Family,Residential,1978,Y,Electric,1356,1556,1456,1306,Actual,1406,3,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,278.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,278000.0,128.0
